"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 00:00","2022","05","01","00:00","-17.8","","-19.8","","85","","","","8","","15","","24.1","","102.91","","","","-26","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 01:00","2022","05","01","01:00","-17.6","","-19.6","","85","","","","9","","16","","24.1","","102.90","","","","-26","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 02:00","2022","05","01","02:00","-18.2","","-20.2","","84","","","","8","","16","","24.1","","102.87","","","","-27","","Mainly Clear"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 03:00","2022","05","01","03:00","-18.3","","-20.2","","85","","","","8","","14","","24.1","","102.85","","","","-27","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 04:00","2022","05","01","04:00","-18.7","","-20.6","","85","","","","9","","19","","24.1","","102.83","","","","-29","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 05:00","2022","05","01","05:00","-17.8","","-19.7","","86","","","","9","","20","","24.1","","102.82","","","","-28","","Mainly Clear"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 06:00","2022","05","01","06:00","-16.6","","-18.5","","86","","","","10","","16","","24.1","","102.80","","","","-25","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 07:00","2022","05","01","07:00","-15.8","","-17.8","","85","","","","10","","16","","24.1","","102.77","","","","-24","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 08:00","2022","05","01","08:00","-14.8","","-16.9","","85","","","","10","","21","","12.9","","102.76","","","","-24","","Mainly Clear"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 09:00","2022","05","01","09:00","-13.9","","-16.2","","83","","","","9","","18","","19.3","","102.73","","","","-22","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 10:00","2022","05","01","10:00","-12.7","","-15.3","","81","","","","10","","18","","24.1","","102.71","","","","-21","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 11:00","2022","05","01","11:00","-11.8","","-14.4","","81","","","","11","","21","","24.1","","102.68","","","","-20","","Clear"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 12:00","2022","05","01","12:00","-10.9","","-13.6","","81","","","","10","","21","","24.1","","102.67","","","","-19","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 13:00","2022","05","01","13:00","-10.4","","-13.1","","81","","","","11","","22","","24.1","","102.65","","","","-19","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 14:00","2022","05","01","14:00","-10.1","","-12.6","","82","","","","12","","25","","24.1","","102.63","","","","-19","","Mainly Clear"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 15:00","2022","05","01","15:00","-10.2","","-12.7","","82","","","","12","","23","","24.1","","102.61","","","","-19","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 16:00","2022","05","01","16:00","-10.4","","-12.7","","83","","","","12","","26","","24.1","","102.59","","","","-19","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 17:00","2022","05","01","17:00","-10.8","","-13.0","","84","","","","12","","28","","24.1","","102.55","","","","-20","","Mainly Clear"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 18:00","2022","05","01","18:00","-11.5","","-13.5","","85","","","","12","","23","","24.1","","102.54","","","","-20","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 19:00","2022","05","01","19:00","-12.4","","-14.3","","86","","","","12","","21","","24.1","","102.55","","","","-21","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 20:00","2022","05","01","20:00","-13.3","","-14.9","","87","","","","10","","16","","4.8","","102.54","","","","-21","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 21:00","2022","05","01","21:00","-14.0","","-15.6","","88","","","","12","","21","","6.4","","102.51","","","","-23","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 22:00","2022","05","01","22:00","-14.9","","-16.6","","87","","","","11","","16","","4.8","","102.47","","","","-23","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-01 23:00","2022","05","01","23:00","-15.2","","-17.0","","87","","","","11","","19","","9.7","","102.47","","","","-24","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-02 00:00","2022","05","02","00:00","-15.7","","-17.4","","87","","","","7","","12","","9.7","","102.47","","","","-23","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-02 01:00","2022","05","02","01:00","-16.5","","-18.3","","86","","","","8","","18","","9.7","","102.47","","","","-26","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-02 02:00","2022","05","02","02:00","-16.4","","-18.3","","86","","","","9","","20","","6.4","","102.46","","","","-26","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-02 03:00","2022","05","02","03:00","-16.6","","-18.5","","86","","","","10","","22","","4.8","","102.46","","","","-27","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-02 04:00","2022","05","02","04:00","-16.8","","-18.6","","85","","","","9","","20","","4.8","","102.42","","","","-26","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-02 05:00","2022","05","02","05:00","-16.8","","-18.8","","85","","","","10","","18","","2.4","","102.44","","","","-26","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-02 06:00","2022","05","02","06:00","-16.2","","-18.3","","84","","","","10","","21","","2.4","","102.41","","","","-26","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-02 07:00","2022","05","02","07:00","-15.5","","-17.8","","83","","","","11","","19","","6.4","","102.42","","","","-25","","Ice Crystals"
"-105.14","69.11","CAMBRIDGE BAY A","2400601","2022-05-02 08:00","2022","05","02","08:00","-13.6","","-16.1","","82","","","","12","","18","","16.1","","102.39","","","","-22","","Ice Crystals"
